Date : 2024-08-17 21:50:54
Directory : /data/home/ziruigao/src/mini-game-router
Total : 64 files,  1244 codes, 163 comments, 165 blanks, all 1572 lines

Languages
+------------------+------------+------------+------------+------------+------------+
| language         | files      | code       | comment    | blank      | total      |
+------------------+------------+------------+------------+------------+------------+
| Go               |         51 |        851 |          0 |        162 |      1,013 |
| YAML             |          7 |        230 |        163 |          2 |        395 |
| Go Checksum File |          2 |        122 |          0 |          0 |        122 |
| Go Module File   |          2 |         41 |          0 |          1 |         42 |
| Protocol Buffers |          2 |          0 |          0 |          0 |          0 |
+------------------+------------+------------+------------+------------+------------+

Directories
+-------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                | files      | code       | comment    | blank      | total      |
+-------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                   |         64 |      1,244 |        163 |        165 |      1,572 |
| . (Files)                                                                           |          2 |        301 |          0 |          8 |        309 |
| ..                                                                                  |         26 |     -1,886 |          0 |       -336 |     -2,222 |
| ../mini-game-router-v1                                                              |         26 |     -1,886 |          0 |       -336 |     -2,222 |
| ../mini-game-router-v1 (Files)                                                      |          2 |       -138 |          0 |         -7 |       -145 |
| ../mini-game-router-v1/core                                                         |         17 |     -1,197 |          0 |       -242 |     -1,439 |
| ../mini-game-router-v1/core/balancer                                                |          7 |       -448 |          0 |       -100 |       -548 |
| ../mini-game-router-v1/core/config                                                  |          1 |       -133 |          0 |        -23 |       -156 |
| ../mini-game-router-v1/core/etcd                                                    |          2 |       -146 |          0 |        -24 |       -170 |
| ../mini-game-router-v1/core/init                                                    |          1 |        -19 |          0 |         -4 |        -23 |
| ../mini-game-router-v1/core/metrics                                                 |          2 |        -82 |          0 |        -24 |       -106 |
| ../mini-game-router-v1/core/netToolkit                                              |          1 |        -86 |          0 |        -18 |       -104 |
| ../mini-game-router-v1/core/resolver                                                |          1 |        -70 |          0 |        -13 |        -83 |
| ../mini-game-router-v1/core/router                                                  |          1 |       -161 |          0 |        -23 |       -184 |
| ../mini-game-router-v1/core/tools                                                   |          1 |        -52 |          0 |        -13 |        -65 |
| ../mini-game-router-v1/demo                                                         |          3 |       -219 |          0 |        -38 |       -257 |
| ../mini-game-router-v1/demo/client                                                  |          1 |       -103 |          0 |        -15 |       -118 |
| ../mini-game-router-v1/demo/control                                                 |          1 |        -41 |          0 |         -8 |        -49 |
| ../mini-game-router-v1/demo/server                                                  |          1 |        -75 |          0 |        -15 |        -90 |
| ../mini-game-router-v1/proto                                                        |          3 |       -292 |          0 |        -46 |       -338 |
| ../mini-game-router-v1/test                                                         |          1 |        -40 |          0 |         -3 |        -43 |
| cmd                                                                                 |          5 |        526 |          0 |         87 |        613 |
| cmd/control                                                                         |          1 |         55 |          0 |          9 |         64 |
| cmd/demo                                                                            |          2 |        219 |          0 |         37 |        256 |
| cmd/demo-tcp                                                                        |          2 |        252 |          0 |         41 |        293 |
| cmd/demo-tcp/client                                                                 |          1 |        161 |          0 |         24 |        185 |
| cmd/demo-tcp/server                                                                 |          1 |         91 |          0 |         17 |        108 |
| cmd/demo/client                                                                     |          1 |        126 |          0 |         20 |        146 |
| cmd/demo/server                                                                     |          1 |         93 |          0 |         17 |        110 |
| config                                                                              |          2 |         83 |          2 |          0 |         85 |
| core                                                                                |         20 |      1,765 |          0 |        353 |      2,118 |
| core/balancer                                                                       |          7 |        496 |          0 |        123 |        619 |
| core/cache                                                                          |          2 |         95 |          0 |         22 |        117 |
| core/config                                                                         |          1 |        164 |          0 |         29 |        193 |
| core/etcd                                                                           |          2 |        313 |          0 |         44 |        357 |
| core/metrics                                                                        |          2 |        109 |          0 |         28 |        137 |
| core/netToolkit                                                                     |          1 |        127 |          0 |         21 |        148 |
| core/resolver                                                                       |          1 |         64 |          0 |         13 |         77 |
| core/router                                                                         |          1 |        198 |          0 |         31 |        229 |
| core/sdk                                                                            |          1 |         95 |          0 |         19 |        114 |
| core/tools                                                                          |          2 |        104 |          0 |         23 |        127 |
| deploy                                                                              |          5 |        147 |        161 |          2 |        310 |
| deploy (Files)                                                                      |          4 |        140 |        161 |          2 |        303 |
| deploy/grafana-conf                                                                 |          1 |          7 |          0 |          0 |          7 |
| proto                                                                               |          3 |        292 |          0 |         46 |        338 |
| test                                                                                |          1 |         16 |          0 |          5 |         21 |
+-------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+-------------------------------------------------------------------------------------+------------------+------------+------------+------------+------------+
| filename                                                                            | language         | code       | comment    | blank      | total      |
+-------------------------------------------------------------------------------------+------------------+------------+------------+------------+------------+
| /data/home/ziruigao/src/mini-game-router-v1/core/balancer/balancerPrototype.go      | Go               |        -55 |          0 |         -8 |        -63 |
| /data/home/ziruigao/src/mini-game-router-v1/core/balancer/consistentHashBalancer.go | Go               |        -91 |          0 |        -19 |       -110 |
| /data/home/ziruigao/src/mini-game-router-v1/core/balancer/dynamicBalancer.go        | Go               |        -55 |          0 |        -15 |        -70 |
| /data/home/ziruigao/src/mini-game-router-v1/core/balancer/myPicker.go               | Go               |        -93 |          0 |        -12 |       -105 |
| /data/home/ziruigao/src/mini-game-router-v1/core/balancer/randomBalancer.go         | Go               |        -42 |          0 |        -14 |        -56 |
| /data/home/ziruigao/src/mini-game-router-v1/core/balancer/staticBalancer.go         | Go               |        -52 |          0 |        -15 |        -67 |
| /data/home/ziruigao/src/mini-game-router-v1/core/balancer/weightBalancer.go         | Go               |        -60 |          0 |        -17 |        -77 |
| /data/home/ziruigao/src/mini-game-router-v1/core/config/config.go                   | Go               |       -133 |          0 |        -23 |       -156 |
| /data/home/ziruigao/src/mini-game-router-v1/core/etcd/discovery.go                  | Go               |        -72 |          0 |        -14 |        -86 |
| /data/home/ziruigao/src/mini-game-router-v1/core/etcd/register.go                   | Go               |        -74 |          0 |        -10 |        -84 |
| /data/home/ziruigao/src/mini-game-router-v1/core/init/init.go                       | Go               |        -19 |          0 |         -4 |        -23 |
| /data/home/ziruigao/src/mini-game-router-v1/core/metrics/clientMetrics.go           | Go               |        -48 |          0 |        -13 |        -61 |
| /data/home/ziruigao/src/mini-game-router-v1/core/metrics/serverMetrics.go           | Go               |        -34 |          0 |        -11 |        -45 |
| /data/home/ziruigao/src/mini-game-router-v1/core/netToolkit/netToolkit.go           | Go               |        -86 |          0 |        -18 |       -104 |
| /data/home/ziruigao/src/mini-game-router-v1/core/resolver/myResolver.go             | Go               |        -70 |          0 |        -13 |        -83 |
| /data/home/ziruigao/src/mini-game-router-v1/core/router/router.go                   | Go               |       -161 |          0 |        -23 |       -184 |
| /data/home/ziruigao/src/mini-game-router-v1/core/tools/randomPickMap.go             | Go               |        -52 |          0 |        -13 |        -65 |
| /data/home/ziruigao/src/mini-game-router-v1/demo/client/client.go                   | Go               |       -103 |          0 |        -15 |       -118 |
| /data/home/ziruigao/src/mini-game-router-v1/demo/control/control.go                 | Go               |        -41 |          0 |         -8 |        -49 |
| /data/home/ziruigao/src/mini-game-router-v1/demo/server/server.go                   | Go               |        -75 |          0 |        -15 |        -90 |
| /data/home/ziruigao/src/mini-game-router-v1/go.mod                                  | Go Module File   |        -35 |          0 |         -6 |        -41 |
| /data/home/ziruigao/src/mini-game-router-v1/go.sum                                  | Go Checksum File |       -103 |          0 |         -1 |       -104 |
| /data/home/ziruigao/src/mini-game-router-v1/proto/hello.pb.go                       | Go               |       -185 |          0 |        -26 |       -211 |
